travel2csb,age,dependency_family,dependency_single,occupation1,occupation2,occupation3,fullyowned,purchasing,renting,numberofschool,_1bed_unit_median_price,_1bed_unit_days,_1bed_unit_clearance,_1bed_unit_sold,_2bed_unit_median_price,_2bed_unit_days,_2bed_unit_clearance,_2bed_unit_sold,_3bed_unit_median_price,_3bed_unit_days,_3bed_unit_clearance,_3bed_unit_sold,_2bed_house_median_price,_2bed_house_days,_2bed_house_clearance,_2bed_house_sold,_3bed_house_median_price,_3bed_house_days,_3bed_house_clearance,_3bed_house_sold,_4bed_house_median_price,_4bed_house_days,_4bed_house_clearance,_4bed_house_sold,name,post
--,40 - 59,60.0,40.0,Health Care/Social,Manufacturing,Agriculture,39.0,48.0,14.0,0,,,,,,,,,,,,,,,,,,,,1,,,,3,Killawarra,3678
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Rose River,3678
18 hours 54 mins,40 - 59,63.0,37.0,Agriculture,Manufacturing,Health Care/Social,46.0,39.0,14.0,1,,,,,,,,,,,,,,,,,,,,5,,,,7,Milawa,3678
--,40 - 59,64.0,36.0,Health Care/Social,Agriculture,Manufacturing,48.0,42.0,10.0,0,,,,,,,,,,,,,,,,,,,,2,,,,4,Tarrawingee,3678
7 hours 14 mins,40 - 59,55.0,45.0,Agriculture,Manufacturing,Health Care/Social,53.0,19.0,28.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Cheshunt,3678
3 hours 5 mins,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Docker,3678
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2,,,,,Everton Upper,3678
7 hours 17 mins,40 - 59,53.0,47.0,Agriculture,Manufacturing,Health Care/Social,50.0,35.0,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,King Valley,3678
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Meadow Creek,3678
--,40 - 59,62.0,38.0,Manufacturing,Health Care/Social,Construction,48.0,42.0,10.0,1,,,,,,,,,,,,,,,,,,,,3,,,,4,Oxley,3678
7 hours 11 mins,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,1,Peechelba,3678
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,East Wangaratta,3678
--,40 - 59,67.0,33.0,Health Care/Social,Agriculture,Education & training,60.0,35.0,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Wangandary,3678
--,40 - 59,61.0,39.0,Health Care/Social,Construction,Retail trade,56.0,35.0,9.0,0,,,,,,,,,,,,,,,,,,,,1,,,,2,Wangaratta South,3678
4 hours 7 mins,40 - 59,61.0,39.0,Agriculture,Manufacturing,Transport/Warehouse,43.0,39.0,18.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Springhurst,3682
4 hours 17 mins,40 - 59,51.0,49.0,Manufacturing,Health Care/Social,Public Sector/Safety,39.0,42.0,19.0,2,,,,1,,,,1,,,,,,,,3,240000.0,184,,15,,,,1,Chiltern,3683
--,40 - 59,61.0,39.0,Manufacturing,Health Care/Social,Construction,46.0,41.0,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Cornishtown,3683
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,Chiltern Valley,3683
4 hours 38 mins,40 - 59,51.0,49.0,Manufacturing,Health Care/Social,Retail trade,39.0,35.0,27.0,3,,,,,,,,,,,,1,,,,7,235000.0,149,,26,360000.0,153,,12,Rutherglen,3685
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Gooramadda,3685
4 hours 52 mins,40 - 59,55.0,45.0,Manufacturing,Retail trade,Health Care/Social,35.0,41.0,24.0,1,,,,,,,,1,,,,1,,,,1,,,,7,,,,4,Wahgunyah,3687
6 hours 22 mins,40 - 59,52.0,48.0,Manufacturing,Retail trade,Health Care/Social,32.0,51.0,17.0,1,,,,,,,,,,,,,,,,,235000.0,,,12,,,,7,Barnawartha,3688
--,40 - 59,60.0,40.0,Agriculture,Health Care/Social,Public Sector/Safety,48.0,36.0,17.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Indigo Valley,3688
6 hours 0 mins,40 - 59,45.0,55.0,Manufacturing,Health Care/Social,Retail trade,30.0,31.0,40.0,3,,,,2,194000.0,197,,24,,,,4,230000.0,65,,21,275000.0,80,58%,194,375000.0,122,27%,118,Wodonga,3690
14 hours 36 mins,20 - 39,49.0,51.0,Manufacturing,Retail trade,Health Care/Social,22.0,38.0,40.0,0,,,,1,203000.0,156,,17,,,,4,203000.0,77,,11,291000.0,90,,144,361000.0,108,,82,West Wodonga,3690
9 hours 12 mins,40 - 59,65.0,35.0,Manufacturing,Health Care/Social,Public Sector/Safety,31.0,54.0,15.0,0,,,,,,,,,,,,,,,,,,,,3,,,,2,Kiewa,3691
--,40 - 59,57.0,43.0,Manufacturing,Education & training,Health Care/Social,39.0,48.0,14.0,1,,,,,,,,,,,,,,,,1,,,,5,,,,2,Bethanga,3691
--,20 - 39,30.0,70.0,Public Sector/Safety,Retail trade,Construction,39.0,40.0,21.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Bonegilla,3691
--,40 - 59,59.0,41.0,Construction,Manufacturing,Retail trade,38.0,41.0,21.0,0,,,,,,,,1,,,,,,,,,,,,3,,,,4,Bellbridge,3691
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Ebden,3691
--,40 - 59,56.0,44.0,Agriculture,Construction,Education & training,40.0,39.0,21.0,0,,,,,,,,,,,,,,,,,,,,1,,,,,Kergunyah,3691
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,1,Barnawartha North,3691
--,20 - 39,35.0,65.0,Public Sector/Safety,Manufacturing,Health Care/Social,12.0,49.0,39.0,0,,,,,,,,,,,,,,,,1,,,,4,,,,6,Killara,3691
--,40 - 59,64.0,36.0,Agriculture,Health Care/Social,Manufacturing,45.0,45.0,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,1,Staghorn Flat,3691
--,40 - 59,67.0,33.0,Agriculture,Health Care/Social,Manufacturing,49.0,32.0,19.0,1,,,,,,,,,,,,,,,,,,,,1,,,,,Talgarno,3691
--,40 - 59,54.0,46.0,Manufacturing,Retail trade,Health Care/Social,27.0,47.0,25.0,1,,,,,,,,,,,,,,,,,,,,2,,,,1,Tangambalanga,3691
--,20 - 39,53.0,47.0,Public Sector/Safety,Manufacturing,Health Care/Social,21.0,56.0,23.0,0,,,,,,,,,,,,,,,,,,,,6,,,,9,Leneva,3691
18 hours 51 mins,5 - 19,62.0,38.0,Public Sector/Safety,Manufacturing,Health Care/Social,22.0,60.0,18.0,3,,,,,,,,,,,,,,,,,330000.0,126,,24,398000.0,243,,18,Baranduda,3691
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2,,,,,Allans Flat,3691
7 hours 45 mins,40 - 59,59.0,41.0,Agriculture,Construction,Wholesale trade,37.0,34.0,29.0,1,,,,,,,,,,,,,,,,1,,,,1,,,,,Dederang,3691
--,40 - 59,61.0,39.0,Agriculture,Manufacturing,Construction,40.0,40.0,20.0,0,,,,,,,,,,,,,,,,,,,,,,,,2,Gundowring,3691
,40 - 59,0.0,100.0,Professional/Technical,Agriculture,Mining,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,2,,,,6,Bandiana,3691
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Glen Creek,3691
--,40 - 59,68.0,32.0,Retail trade,Agriculture,Construction,60.0,32.0,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Huon Creek,3691
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Kancoona,3691
--,40 - 59,74.0,26.0,Health Care/Social,Construction,Manufacturing,47.0,44.0,9.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Osbornes Flat,3691
--,40 - 59,59.0,41.0,Agriculture,Education & training,Construction,51.0,30.0,19.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Upper Gundowring,3691
--,40 - 59,64.0,36.0,Manufacturing,Health Care/Social,Agriculture,38.0,47.0,15.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Huon,3695
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Sandy Creek,3695
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,Charleroi,3695
--,40 - 59,61.0,39.0,Health Care/Social,Hospitality,Retail trade,54.0,31.0,16.0,1,,,,,,,,,,,,,,,,,,,,4,,,,3,Tawonga,3697
--,40 - 59,61.0,39.0,Hospitality,Health Care/Social,Education & training,47.0,34.0,19.0,0,,,,,,,,,,,,,,,,5,260000.0,346,,16,,,,4,Tawonga South,3698
8 hours 21 mins,60+,42.0,58.0,Hospitality,Education & training,Health Care/Social,40.0,27.0,34.0,1,,,,,,,,,,,,,,,,2,229000.0,601,,19,,,,4,Mount Beauty,3699
--,20 - 39,26.0,74.0,Hospitality,Transport/Warehouse,Arts & Recreation,29.0,14.0,57.0,1,,,,1,,,,2,,,,,,,,2,,,,3,,,,,Falls Creek,3699
7 hours 54 mins,60+,52.0,48.0,Health Care/Social,Manufacturing,Agriculture,39.0,30.0,30.0,2,,,,,,,,,,,,1,,,,1,253000.0,,,13,,,,3,Tallangatta,3700
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Georges Creek,3700
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Tallangatta East,3700
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Bullioh,3700
--,40 - 59,58.0,42.0,Agriculture,Construction,Transport/Warehouse,54.0,33.0,12.0,0,,,,,,,,,,,,,,,,1,,,,1,,,,,Granya,3701
--,40 - 59,62.0,38.0,Agriculture,Education & training,Transport/Warehouse,49.0,29.0,22.0,1,,,,,,,,,,,,,,,,1,,,,1,,,,,Eskdale,3701
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,3,,,,,Dartmouth,3701
--,60+,59.0,41.0,Agriculture,Transport/Warehouse,Hospitality,60.0,19.0,20.0,1,,,,,,,,,,,,,,,,,,,,1,,,,,Mitta Mitta,3701
--,5 - 19,64.0,36.0,Agriculture,Health Care/Social,Construction,49.0,31.0,19.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Tallangatta Valley,3701
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Koetong,3704
9 hours 31 mins,60+,51.0,49.0,Agriculture,Health Care/Social,Education & training,42.0,25.0,32.0,2,,,,,,,,,,,,,,,,3,218000.0,,,12,,,,5,Corryong,3707
8 hours 14 mins,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Mount Alfred,3709
3 hours 3 mins,40 - 59,55.0,45.0,Hospitality,Agriculture,Construction,48.0,30.0,22.0,1,,,,,,,,,,,,,,,,1,,,,6,,,,5,Buxton,3711
4 hours 38 mins,60+,52.0,48.0,Agriculture,Hospitality,Health Care/Social,52.0,22.0,26.0,2,,,,,,,,,,,,,,,,3,,,,3,,,,,Thornton,3712
--,60+,69.0,31.0,Education & training,Public Sector/Safety,Health Care/Social,52.0,27.0,21.0,0,,,,,,,,,,,,,,,,,,,,6,,,,1,Taylor Bay,3713
4 hours 48 mins,60+,47.0,53.0,Education & training,Health Care/Social,Hospitality,41.0,24.0,35.0,1,,,,,,,,1,,,,,,,,4,221000.0,258,,16,,,,6,Eildon,3713
--,60+,68.0,32.0,Agriculture,Retail trade,Professional/Technical,61.0,18.0,21.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Acheron,3714
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Maintongoon,3714
3 hours 11 mins,60+,58.0,42.0,Agriculture,Education & training,Health Care/Social,55.0,29.0,17.0,1,,,,,,,,,,,,,,,,1,,,,1,,,,,Taggerty,3714
3 hours 38 mins,60+,51.0,49.0,Retail trade,Health Care/Social,Public Sector/Safety,44.0,31.0,25.0,3,,,,,,,,3,,,,,,,,7,300000.0,255,,55,,,,7,Alexandra,3714
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Whanregarwen,3714
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Ancona,3715
2 hours 30 mins,40 - 59,61.0,39.0,Construction,Agriculture,Retail trade,44.0,39.0,17.0,0,,,,,,,,,,,,,,,,,,,,2,,,,2,Glenburn,3717
,40 - 59,44.0,56.0,Agriculture,Manufacturing,Health Care/Social,42.0,44.0,14.0,1,,,,,,,,,,,,,,,,6,297000.0,83,,13,,,,5,Flowerdale,3717
3 hours 40 mins,60+,52.0,48.0,Health Care/Social,Agriculture,Construction,48.0,28.0,25.0,3,,,,,,,,1,,,,,,,,6,375000.0,145,,20,500000.0,,,10,Yea,3717
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Homewood,3717
--,60+,61.0,39.0,Agriculture,Manufacturing,Public Sector/Safety,55.0,25.0,20.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Murrindindi,3717
--,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,1,Limestone,3717
--,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,Molesworth,3718
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,1,Gobur,3719
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Terip Terip,3719
3 hours 32 mins,60+,63.0,37.0,Agriculture,Construction,Health Care/Social,60.0,26.0,14.0,0,,,,,,,,,,,,,,,,1,,,,2,,,,,Yarck,3719
--,60+,58.0,42.0,Construction,Retail trade,Hospitality,50.0,34.0,16.0,0,,,,,,,,,,,,,,,,,290000.0,,,11,,,,7,Bonnie Doon,3720
4 hours 14 mins,40 - 59,50.0,50.0,Retail trade,Hospitality,Construction,38.0,31.0,30.0,3,,,,,,,,3,,,,6,,,,4,370000.0,148,,41,465000.0,206,,35,Mansfield,3722
--,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,3,,,,1,Barwite,3722
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Howqua,3723
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,3,,,,2,Sawmill Settlement,3723
--,5 - 19,37.0,63.0,Education & training,Hospitality,Agriculture,37.0,29.0,34.0,1,,,,,,,,,,,,1,,,,3,,,,5,,,,3,Merrijig,3723
--,40 - 59,60.0,40.0,Education & training,Retail trade,Agriculture,45.0,41.0,14.0,0,,,,,,,,,,,,,,,,1,,,,3,,,,,Tolmie,3723
--,60+,53.0,47.0,Hospitality,Mining,Public Sector/Safety,59.0,27.0,14.0,1,,,,,,,,,,,,,,,,7,,,,8,,,,2,Jamieson,3723
--,40 - 59,62.0,38.0,Agriculture,Education & training,Construction,46.0,40.0,15.0,0,,,,,,,,,,,,,,,,,,,,1,,,,,Barjarg,3723
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Stewarton,3725
--,40 - 59,53.0,47.0,Agriculture,Health Care/Social,Retail trade,40.0,44.0,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Wilby,3728
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,Boomahnoomoonah,3728
4 hours 42 mins,40 - 59,51.0,49.0,Hospitality,Retail trade,Agriculture,44.0,36.0,20.0,1,,,,,,,,,,,,,,,,,,,,3,,,,1,Tungamah,3728
4 hours 43 mins,60+,55.0,45.0,Manufacturing,Hospitality,Retail trade,43.0,28.0,29.0,3,,,,,224000.0,217,,18,,,,6,239000.0,245,,18,315000.0,267,,128,446000.0,423,,54,Yarrawonga,3730
--,40 - 59,61.0,39.0,Health Care/Social,Agriculture,Construction,44.0,38.0,18.0,0,,,,,,,,,,,,,,,,1,328000.0,283,,13,,,,7,Bundalong,3730
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2,,,,1,Boosey,3730
6 hours 34 mins,40 - 59,55.0,45.0,Agriculture,Manufacturing,Health Care/Social,41.0,38.0,22.0,1,,,,,,,,,,,,,,,,1,,,,3,,,,3,Moyhu,3732
--,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Myrrhee,3732
7 hours 20 mins,40 - 59,60.0,40.0,Agriculture,Manufacturing,Health Care/Social,51.0,28.0,21.0,0,,,,,,,,,,,,,,,,1,,,,1,,,,,Whitfield,3733
--,40 - 59,59.0,41.0,Agriculture,Manufacturing,Health Care/Social,57.0,26.0,17.0,1,,,,,,,,,,,,,,,,,,,,2,,,,1,Whorouly,3735
4 hours 14 mins,60+,51.0,49.0,Manufacturing,Retail trade,Health Care/Social,47.0,25.0,28.0,3,,,,,,,,3,,,,1,213000.0,,,10,260000.0,214,,39,290000.0,185,,15,Myrtleford,3737
--,40 - 59,60.0,40.0,Agriculture,Manufacturing,Health Care/Social,56.0,30.0,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Mudgegonga,3737
--,40 - 59,60.0,40.0,Agriculture,Health Care/Social,Public Sector/Safety,50.0,28.0,22.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Rosewhite,3737
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Ovens,3738
--,40 - 59,57.0,43.0,Agriculture,Manufacturing,Retail trade,44.0,29.0,27.0,0,,,,,,,,,,,,,,,,,,,,2,,,,,Eurobin,3739
4 hours 44 mins,40 - 59,48.0,52.0,Hospitality,Construction,Retail trade,40.0,36.0,24.0,0,,,,,,,,1,,,,,,,,,369000.0,,,12,564000.0,,,10,Porepunkah,3740
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2,,,,,Buckland,3740
--,60+,53.0,47.0,Hospitality,Retail trade,Construction,44.0,24.0,32.0,1,,,,,,,,6,,,,2,,,,8,445000.0,204,,37,570000.0,258,,13,Bright,3741
6 hours 13 mins,40 - 59,53.0,47.0,Construction,Hospitality,Agriculture,52.0,34.0,14.0,0,,,,,,,,,,,,,,,,,,,,1,,,,2,Freeburgh,3741
6 hours 28 mins,40 - 59,51.0,49.0,Hospitality,Construction,Retail trade,40.0,32.0,28.0,1,,,,,,,,,,,,,,,,1,,,,8,,,,2,Harrietville,3741
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Smoko,3741
7 hours 40 mins,20 - 39,23.0,77.0,Hospitality,Real Estate,Transport/Warehouse,19.0,13.0,68.0,0,,,,,,,,1,,,,,,,,,,,,,,,,1,Mount Hotham,3741
--,40 - 59,58.0,42.0,Construction,Hospitality,Agriculture,50.0,33.0,17.0,1,,,,,,,,,,,,,,,,1,,,,7,,,,1,Wandiligong,3744
--,60+,52.0,48.0,Education & training,Manufacturing,Retail trade,48.0,40.0,11.0,0,,,,,,,,,,,,,,,,1,,,,1,,,,2,Eldorado,3746
--,40 - 59,69.0,31.0,Manufacturing,Health Care/Social,Agriculture,47.0,41.0,12.0,1,,,,,,,,,,,,,,,,1,,,,1,,,,3,Wooragee,3747
5 hours 40 mins,40 - 59,50.0,50.0,Health Care/Social,Retail trade,Manufacturing,45.0,31.0,24.0,3,,,,,,,,3,,,,,,,,7,355000.0,232,,43,480000.0,162,,14,Beechworth,3747
--,40 - 59,49.0,51.0,Health Care/Social,Education & training,Retail trade,47.0,38.0,15.0,1,,,,,,,,,,,,,,,,1,,,,3,,,,,Stanley,3747
18 hours 24 mins,40 - 59,56.0,44.0,Health Care/Social,Education & training,Retail trade,41.0,41.0,18.0,1,,,,,,,,,,,,,,,,,,,,9,430000.0,,,11,Yackandandah,3749
1 hour 35 mins,20 - 39,60.0,40.0,Manufacturing,Retail trade,Construction,33.0,46.0,21.0,0,,,,,,,,,,,,3,,,,2,456000.0,44,82%,68,515000.0,72,59%,138,Wollert,3750
--,40 - 59,53.0,47.0,Agriculture,Construction,Health Care/Social,46.0,32.0,22.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Woodstock,3751
1 hour 26 mins,20 - 39,56.0,44.0,Manufacturing,Retail trade,Health Care/Social,18.0,62.0,21.0,2,,,,,327000.0,100,,17,390000.0,58,,17,379000.0,,,10,478000.0,65,90%,142,600000.0,57,80%,162,South Morang,3752
--,40 - 59,58.0,42.0,Construction,Manufacturing,Health Care/Social,35.0,51.0,15.0,1,,,,,,,,,,,,,,,,,468000.0,,,10,469000.0,143,,28,Beveridge,3753
1 hour 53 mins,20 - 39,61.0,39.0,Construction,Manufacturing,Health Care/Social,15.0,72.0,14.0,3,,,,,,,,2,,,,1,,,,2,470000.0,39,63%,124,560000.0,50,76%,293,Doreen,3754
1 hour 25 mins,20 - 39,52.0,48.0,Construction,Health Care/Social,Retail trade,12.0,67.0,20.0,3,,,,,,,,3,,,,1,,,,9,443000.0,33,84%,111,497000.0,93,76%,204,Mernda,3754
--,40 - 59,49.0,51.0,Construction,Manufacturing,Education & training,35.0,40.0,26.0,0,,,,,,,,,,,,,,,,,,,,1,,,,,Yan Yean,3755
1 hour 16 mins,20 - 39,52.0,48.0,Manufacturing,Construction,Retail trade,20.0,61.0,19.0,1,,,,,,,,5,282000.0,269,,24,,,,6,365000.0,84,,104,448000.0,92,,108,Wallan,3756
--,40 - 59,55.0,45.0,Construction,Manufacturing,Retail trade,39.0,52.0,9.0,1,,,,,,,,,,,,,,,,,,,,,,,,1,Darraweit Guim,3756
--,40 - 59,50.0,50.0,Manufacturing,Health Care/Social,Construction,47.0,39.0,14.0,1,,,,,,,,,,,,,,,,,,,,2,,,,2,Upper Plenty,3756
2 hours 34 mins,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Hidden Valley,3756
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Chintin,3756
2 hours 44 mins,40 - 59,52.0,48.0,Construction,Health Care/Social,Education & training,33.0,62.0,5.0,1,,,,,,,,,,,,,,,,,,,,6,,,,7,Kinglake West,3757
1 hour 30 mins,40 - 59,50.0,50.0,Construction,Manufacturing,Health Care/Social,31.0,47.0,22.0,3,,,,1,284000.0,,,11,,,,6,,,,5,441000.0,49,,36,558000.0,71,,38,Whittlesea,3757
2 hours 49 mins,40 - 59,52.0,48.0,Construction,Manufacturing,Retail trade,36.0,44.0,20.0,0,,,,,,,,,,,,,,,,,,,,1,,,,3,Pheasant Creek,3757
--,40 - 59,60.0,40.0,Construction,Health Care/Social,Manufacturing,45.0,47.0,8.0,0,,,,,,,,,,,,,,,,,,,,1,,,,5,Eden Park,3757
2 hours 52 mins,40 - 59,50.0,50.0,Construction,Manufacturing,Health Care/Social,37.0,44.0,18.0,1,,,,,,,,,,,,,,,,,,,,3,,,,4,Kinglake Central,3757
2 hours 33 mins,40 - 59,59.0,41.0,Construction,Education & training,Health Care/Social,52.0,40.0,8.0,0,,,,,,,,,,,,,,,,,,,,2,,,,2,Humevale,3757
--,40 - 59,55.0,45.0,Construction,Manufacturing,Health Care/Social,32.0,57.0,12.0,1,,,,,,,,,,,,,,,,,,,,2,,,,8,Wandong,3758
--,40 - 59,51.0,49.0,Construction,Retail trade,Manufacturing,31.0,62.0,7.0,0,,,,,,,,,,,,,,,,2,,,,5,,,,2,Heathcote Junction,3758
--,40 - 59,55.0,45.0,Construction,Health Care/Social,Education & training,39.0,53.0,8.0,1,,,,,,,,,,,,,,,,1,,,,3,,,,2,Panton Hill,3759
--,40 - 59,58.0,42.0,Education & training,Construction,Health Care/Social,38.0,48.0,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,3,Smiths Gully,3760
--,40 - 59,55.0,45.0,Construction,Health Care/Social,Manufacturing,36.0,54.0,10.0,1,,,,,,,,,,,,,,,,,,,,4,,,,7,St Andrews,3761
2 hours 57 mins,40 - 59,47.0,53.0,Construction,Health Care/Social,Manufacturing,27.0,62.0,11.0,0,,,,,,,,,,,,,,,,5,457000.0,44,,20,525000.0,59,,14,Kinglake,3763
--,40 - 59,49.0,51.0,Construction,Manufacturing,Health Care/Social,31.0,44.0,25.0,3,,,,,,,,9,275000.0,442,,11,,,,7,330000.0,151,,81,431000.0,68,,54,Kilmore,3764
1 hour 29 mins,40 - 59,51.0,49.0,Manufacturing,Construction,Health Care/Social,40.0,47.0,13.0,0,,,,,,,,,,,,,,,,,,,,1,,,,2,Kilmore East,3764
--,40 - 59,57.0,43.0,Manufacturing,Agriculture,Construction,50.0,38.0,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Glenaroua,3764
--,40 - 59,60.0,40.0,Manufacturing,Health Care/Social,Retail trade,42.0,46.0,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,1,Willowmavin,3764
1 hour 21 mins,40 - 59,52.0,48.0,Construction,Manufacturing,Health Care/Social,35.0,50.0,15.0,2,,,,1,,,,2,,,,3,,,,3,629000.0,17,,44,880000.0,23,,27,Montrose,3765
1 hour 30 mins,40 - 59,53.0,47.0,Health Care/Social,Manufacturing,Construction,36.0,55.0,9.0,0,,,,,,,,,,,,,,,,4,585000.0,22,,13,740000.0,60,,11,Kalorama,3766
--,40 - 59,54.0,46.0,Education & training,Professional/Technical,Health Care/Social,42.0,46.0,12.0,1,,,,,,,,,,,,,,,,2,,,,9,865000.0,76,,11,Mount Dandenong,3767
--,40 - 59,55.0,45.0,Construction,Retail trade,Agriculture,39.0,44.0,17.0,1,,,,,,,,,,,,,,,,,,,,1,,,,2,Gruyere,3770
1 hour 25 mins,40 - 59,53.0,47.0,Manufacturing,Construction,Retail trade,32.0,53.0,14.0,2,,,,,,,,,,,,,,,,,550000.0,12,,13,,,,9,Coldstream,3770
--,60+,67.0,33.0,Agriculture,Construction,Retail trade,51.0,29.0,20.0,0,,,,,,,,,,,,,,,,,,,,,,,,1,Yering,3770
1 hour 37 mins,40 - 59,57.0,43.0,Construction,Retail trade,Manufacturing,34.0,48.0,18.0,0,,,,1,,,,,,,,,,,,1,562000.0,38,,33,700000.0,118,,18,Yarra Glen,3775
--,40 - 59,46.0,54.0,Construction,Health Care/Social,Other services,35.0,46.0,18.0,1,,,,,,,,,,,,,,,,,,,,2,,,,2,Christmas Hills,3775
--,40 - 59,56.0,44.0,Agriculture,Manufacturing,Construction,49.0,33.0,18.0,1,,,,,,,,,,,,,,,,,,,,3,,,,,Dixons Creek,3775
--,40 - 59,64.0,36.0,Construction,Professional/Technical,Agriculture,54.0,35.0,12.0,0,,,,,,,,,,,,,,,,,,,,1,,,,,Steels Creek,3775
1 hour 44 mins,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Tarrawarra,3775
2 hours 35 mins,40 - 59,52.0,48.0,Construction,Manufacturing,Health Care/Social,42.0,44.0,14.0,0,,,,,,,,,,,,,,,,1,,,,5,,,,7,Chum Creek,3777
--,40 - 59,52.0,48.0,Agriculture,Retail trade,Health Care/Social,43.0,37.0,20.0,1,,,,,,,,,,,,,,,,,,,,2,,,,1,Toolangi,3777
1 hour 56 mins,40 - 59,46.0,54.0,Manufacturing,Construction,Retail trade,36.0,40.0,24.0,3,,,,,,,,6,,,,9,425000.0,23,,19,482000.0,51,,61,633000.0,40,,34,Healesville,3777
2 hours 45 mins,40 - 59,45.0,55.0,Manufacturing,Construction,Retail trade,31.0,46.0,23.0,0,,,,,,,,,,,,,,,,2,455000.0,11,,14,,,,8,Badger Creek,3777
--,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,1,,,,,Mount Toolebewong,3777
--,40 - 59,53.0,47.0,Manufacturing,Construction,Health Care/Social,38.0,50.0,12.0,0,,,,,,,,,,,,,,,,,,,,2,,,,,Castella,3777
2 hours 36 mins,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,2,,,,,Narbethong,3778
