travel2csb,age,dependency_family,dependency_single,occupation1,occupation2,occupation3,fullyowned,purchasing,renting,numberofschool,_1bed_unit_median_price,_1bed_unit_days,_1bed_unit_clearance,_1bed_unit_sold,_2bed_unit_median_price,_2bed_unit_days,_2bed_unit_clearance,_2bed_unit_sold,_3bed_unit_median_price,_3bed_unit_days,_3bed_unit_clearance,_3bed_unit_sold,_2bed_house_median_price,_2bed_house_days,_2bed_house_clearance,_2bed_house_sold,_3bed_house_median_price,_3bed_house_days,_3bed_house_clearance,_3bed_house_sold,_4bed_house_median_price,_4bed_house_days,_4bed_house_clearance,_4bed_house_sold,name,post
37 mins,40 - 59,54.0,46.0,Manufacturing,Health Care/Social,Construction,48.0,29.0,23.0,1,,,,,,,,2,,,,3,,,,1,855000.0,115,,16,,,,8,Seaholme,3018
50 mins,20 - 39,41.0,59.0,Manufacturing,Retail trade,Health Care/Social,21.0,28.0,51.0,3,,,,4,,,,7,,,,9,571000.0,71,82%,41,600000.0,157,77%,66,661000.0,,72%,10,Braybrook,3019
41 mins,20 - 39,45.0,55.0,Manufacturing,Health Care/Social,Retail trade,34.0,28.0,39.0,3,263000.0,295,,16,315000.0,136,,22,,,,9,618000.0,46,95%,34,720000.0,53,78%,111,860000.0,,68%,21,Sunshine,3020
54 mins,20 - 39,48.0,52.0,Manufacturing,Retail trade,Transport/Warehouse,43.0,30.0,28.0,3,,,,2,353000.0,40,,14,,,,8,455000.0,27,,14,555000.0,58,79%,140,601000.0,103,77%,51,Sunshine West,3020
44 mins,20 - 39,44.0,56.0,Manufacturing,Hospitality,Transport/Warehouse,28.0,22.0,51.0,1,195000.0,,,11,235000.0,298,,21,,,,5,529000.0,,80%,10,685000.0,,80%,27,716000.0,,,11,Albion,3020
1 hour 13 mins,20 - 39,46.0,54.0,Manufacturing,Retail trade,Health Care/Social,43.0,28.0,29.0,3,,,,1,,,,9,440000.0,,,10,493000.0,,54%,14,615000.0,56,60%,94,676000.0,46,69%,17,Sunshine North,3020
55 mins,20 - 39,50.0,50.0,Manufacturing,Retail trade,Transport/Warehouse,38.0,43.0,20.0,1,,,,1,,,,2,,,,,,,,1,515000.0,22,88%,29,565000.0,,92%,16,Kealba,3021
51 mins,20 - 39,47.0,53.0,Manufacturing,Retail trade,Health Care/Social,38.0,26.0,35.0,3,,,,2,320000.0,81,50%,69,408000.0,81,63%,46,419000.0,50,80%,46,548000.0,49,67%,354,620000.0,61,50%,68,St Albans,3021
56 mins,20 - 39,50.0,50.0,Manufacturing,Retail trade,Transport/Warehouse,38.0,38.0,24.0,0,,,,,,,,1,,,,,,,,,460000.0,30,80%,58,510000.0,86,,23,Albanvale,3021
1 hour 10 mins,20 - 39,50.0,50.0,Manufacturing,Retail trade,Health Care/Social,39.0,34.0,27.0,1,,,,,,,,2,,,,,,,,1,460000.0,38,68%,103,512000.0,53,,22,Kings Park,3021
52 mins,20 - 39,40.0,60.0,Manufacturing,Health Care/Social,Transport/Warehouse,39.0,28.0,33.0,3,,,,,,,,2,,,,2,560000.0,,91%,17,558000.0,120,86%,40,,,,4,Ardeer,3022
1 hour 1 min,20 - 39,48.0,52.0,Manufacturing,Transport/Warehouse,Health Care/Social,31.0,36.0,33.0,3,,,,2,340000.0,,,11,375000.0,98,,21,393000.0,,,16,460000.0,30,80%,195,527000.0,44,66%,67,Deer Park,3023
1 hour 17 mins,20 - 39,60.0,40.0,Manufacturing,Health Care/Social,Retail trade,14.0,65.0,21.0,3,,,,,400000.0,94,,17,400000.0,,,14,426000.0,162,,14,500000.0,36,66%,203,620000.0,69,48%,171,Caroline Springs,3023
--,20 - 39,32.0,68.0,Construction,Manufacturing,Professional/Technical,53.0,25.0,22.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ravenhall,3023
56 mins,20 - 39,55.0,45.0,Manufacturing,Retail trade,Health Care/Social,21.0,62.0,16.0,1,,,,,,,,,,,,,,,,1,575000.0,35,60%,35,675000.0,61,50%,51,Cairnlea,3023
57 mins,20 - 39,55.0,45.0,Manufacturing,Retail trade,Health Care/Social,26.0,55.0,19.0,0,,,,,,,,,,,,,,,,1,490000.0,26,,19,580000.0,25,,30,Burnside,3023
58 mins,20 - 39,60.0,40.0,Manufacturing,Retail trade,Health Care/Social,10.0,69.0,21.0,1,,,,,,,,,,,,,,,,,474000.0,34,,31,590000.0,41,90%,47,Burnside Heights,3023
1 hour 10 mins,20 - 39,49.0,51.0,Manufacturing,Retail trade,Transport/Warehouse,16.0,58.0,27.0,3,,,,,,,,3,,,,4,308000.0,,,10,376000.0,34,83%,262,450000.0,47,68%,238,Wyndham Vale,3024
1 hour 28 mins,20 - 39,49.0,51.0,Manufacturing,Retail trade,Transport/Warehouse,16.0,58.0,27.0,0,,,,,,,,3,,,,4,308000.0,,,10,376000.0,34,83%,262,450000.0,47,68%,238,Manor lakes,3024
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Mount Cottrell,3024
1 hour 0 mins,60+,49.0,51.0,Manufacturing,Retail trade,Transport/Warehouse,45.0,23.0,32.0,3,,,,5,382000.0,78,,22,615000.0,,,14,570000.0,219,58%,23,760000.0,103,80%,130,840000.0,36,92%,31,Altona North,3025
1 hour 10 mins,40 - 59,15.0,85.0,Transport/Warehouse,Manufacturing,Construction,38.0,0.0,62.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Laverton North,3026
57 mins,20 - 39,57.0,43.0,Manufacturing,Health Care/Social,Public Sector/Safety,8.0,66.0,25.0,0,,,,,,,,1,,,,,,,,1,473000.0,101,,24,650000.0,62,,76,Williams Landing,3027
1 hour 1 min,20 - 39,48.0,52.0,Manufacturing,Retail trade,Transport/Warehouse,36.0,35.0,29.0,3,,,,,390000.0,95,,33,422000.0,69,,13,410000.0,33,,16,539000.0,41,77%,142,640000.0,39,,45,Altona Meadows,3028
54 mins,20 - 39,41.0,59.0,Manufacturing,Hospitality,Transport/Warehouse,26.0,29.0,46.0,3,,,,1,,,,7,400000.0,,,10,,,,8,480000.0,71,,117,478000.0,68,,12,Laverton,3028
50 mins,40 - 59,54.0,46.0,Manufacturing,Retail trade,Transport/Warehouse,31.0,49.0,20.0,1,,,,,,,,5,,,,1,,,,2,501000.0,33,,33,577000.0,28,,30,Seabrook,3028
59 mins,40 - 59,52.0,48.0,Manufacturing,Retail trade,Health Care/Social,32.0,45.0,23.0,3,,,,1,305000.0,66,,27,365000.0,126,,15,330000.0,72,,25,435000.0,41,89%,434,502000.0,35,73%,211,Hoppers Crossing,3029
--,20 - 39,48.0,52.0,Manufacturing,Transport/Warehouse,Retail trade,5.0,57.0,38.0,2,,,,1,,,,1,344000.0,62,,16,,,,5,422000.0,66,80%,164,510000.0,76,74%,176,Truganina,3029
--,20 - 39,56.0,44.0,Manufacturing,Transport/Warehouse,Retail trade,12.0,58.0,31.0,3,,,,,,,,7,359000.0,70,,15,339000.0,78,,18,430000.0,36,81%,236,497000.0,45,69%,436,Tarneit,3029
1 hour 18 mins,20 - 39,64.0,36.0,Professional/Technical,Manufacturing,Retail trade,12.0,62.0,26.0,3,,,,1,,,,5,,,,9,368000.0,83,,17,500000.0,54,77%,317,620000.0,67,70%,690,Point Cook,3030
49 mins,40 - 59,46.0,54.0,Manufacturing,Retail trade,Construction,29.0,40.0,31.0,3,,,,6,297000.0,76,,50,324000.0,80,,32,308000.0,64,,40,415000.0,44,75%,480,510000.0,58,61%,193,Werribee,3030
1 hour 46 mins,40 - 59,55.0,45.0,Agriculture,Manufacturing,Construction,54.0,21.0,25.0,0,,,,,,,,1,,,,1,,,,1,530000.0,,,11,,,,7,Werribee South,3030
1 hour 15 mins,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Sanctuary Lakes,3030
58 mins,20 - 39,55.0,45.0,Manufacturing,Transport/Warehouse,Retail trade,7.0,71.0,22.0,2,,,,,,,,,,,,,,,,1,515000.0,53,,31,598000.0,35,68%,62,Derrimut,3030
21 mins,20 - 39,32.0,68.0,Professional/Technical,Health Care/Social,Education & training,14.0,20.0,65.0,3,291000.0,62,61%,19,488000.0,67,66%,24,,,,7,911000.0,28,93%,34,1051000.0,,81%,25,,,,7,Flemington,3031
21 mins,20 - 39,33.0,67.0,Professional/Technical,Health Care/Social,Education & training,15.0,33.0,52.0,3,380000.0,91,58%,38,491000.0,75,80%,55,,,,8,888000.0,40,94%,63,1065000.0,43,89%,56,1365000.0,,90%,11,Kensington,3031
28 mins,20 - 39,42.0,58.0,Professional/Technical,Health Care/Social,Education & training,26.0,30.0,44.0,3,296000.0,,,11,465000.0,55,88%,45,,,,8,890000.0,57,81%,45,1135000.0,59,81%,97,1415000.0,58,71%,28,Ascot Vale,3032
