price,landsize,address,park,bed,bath,longitude,latitude,date,property_type
"$410,000",Internal area 0.00,"508/757 Bourke Street, DOCKLANDS VIC 3008",1,2,1,144.948288,-37.8190575,Sold by private treaty 03 June 2011
"$770,000",Internal area 0.00,"307/2 New Quay Promenade, DOCKLANDS VIC 3008",1,2,2,144.943924,-37.81374,Sold by private treaty 13 September 2010
"$630,000
        price from APM PriceFinder",Land area squareMeter m2,"1302/8 Waterview Walk, Docklands VIC 3008",1,2,2,144.947845,-37.8194733,Sold at auction 30 April 2010
"$486,600
        price from APM PriceFinder",Internal area 76.8,"3507/22-24 Jane Bell Lane, Docklands VIC 3008",1,2,1,144.938019,-37.81734,Sold by private treaty 07 November 2008
"$495,000",Internal area 110,"602//8 Waterview Walk, Docklands VIC 3008",1,2,2,144.94838,-37.82025,Sold by private treaty 02 October 2008
Price Withheld,Internal area 116 m2,"603/883 Collins Street, Docklands VIC 3008",1,2,2,144.943253,-37.8210144,Sold by private treaty 22 August 2017
Price Withheld,Internal area 103,"606/20 Rakaia Way, Docklands VIC 3008",1,2,2,144.941254,-37.8146057,Sold by private treaty 09 July 2015
Price Withheld,Internal area 88,"3202/100 Harbour Esplanade, Docklands VIC 3008",1,2,2,144.946915,-37.8187027,Sold at auction 04 May 2013
Price Withheld,Internal area 95,"1409N/18 Waterview Walk, Docklands VIC 3008",1,2,2,144.947922,-37.819767,Sold at auction 15 March 2012
Price Withheld,Land area squareMeter m2,"714/60 Siddeley Street, Docklands VIC 3008",1,2,1,144.952515,-37.8226929,Sold by private treaty 03 October 2009
Price Withheld,Land area squareMeter m2,"504/20 Rakaia Way, Docklands VIC 3008",1,2,2,144.941467,-37.81454,Sold by private treaty 21 September 2009
Price Withheld,Internal area 91,"1007/20 Rakaia Way, Docklands VIC 3008",1,2,1,144.940933,-37.81471,Sold by private treaty 09 December 2008
"$378,000
        price from APM PriceFinder",Internal area 56 m2,"308/757 Bourke , Docklands VIC 3008",1,2,1,144.948029,-37.8188324,Sold by private treaty 18 March 2017
"$462,000
        price from APM PriceFinder",Land area 80 m2,"706/673 Latrobe Street, Docklands VIC 3008",1,2,2,144.947342,-37.8148232,Sold by private treaty 22 February 2016
"$640,000",Internal area 88 m2,"905/815 Bourke St, Docklands VIC 3008",1,2,1,144.9444,-37.8197327,Sold by private treaty 21 October 2014
"$680,000","Land area 108 m2
Internal area 88 m2","504/815  Bourke , Docklands VIC 3008",1,2,1,144.947968,-37.81856,Sold by private treaty 24 June 2014
"$640,000",Internal area 0.00,"401/120 Studio Lane, DOCKLANDS VIC 3008",1,2,2,144.937714,-37.8148232,Sold by private treaty 19 February 2010
"$680,000",Internal area 0.00,"1506/39 Caravel Lane, DOCKLANDS VIC 3008",1,2,2,144.9404,-37.8147,Sold by private treaty 17 February 2010
Price Withheld,Internal area 78,"1502/60 Lorimer Street, Docklands VIC 3008",1,2,1,144.94693,-37.8249664,Sold by private treaty 28 September 2017
Price Withheld,Internal area 93,"1108/55 Merchant Street, Docklands VIC 3008",1,2,2,144.944046,-37.8209763,Sold by private treaty 23 September 2017
Price Withheld,Internal area 94,"1508/60 Siddeley Street, Docklands VIC 3008",1,2,2,144.952515,-37.82285,Sold by private treaty 22 September 2017
Price Withheld,Internal area 85,"1904/15 Caravel Lane, Docklands VIC 3008",1,2,2,144.9417,-37.8142128,Sold by private treaty 11 September 2017
Price Withheld,Land area 212 m2,"407/39 Caravel Lane, DOCKLANDS VIC 3008",1,2,1,144.9404,-37.8147,Sold by private treaty 06 June 2013
Price Withheld,Internal area 98.0,"S709/8 Waterview Walk, Docklands VIC 3008",1,2,2,144.948135,-37.8197,Sold by private treaty 23 March 2010
Price Withheld,Internal area 11.6,"N807/18 Waterview Walk, Docklands VIC 3008",1,2,2,144.948029,-37.8188324,Sold by private treaty 23 February 2010
"$760,000
        price from APM PriceFinder",Internal area 150 m2,"111/401 Docklands Drive, DOCKLANDS VIC 3008",1,3,1,144.940125,-37.8140678,Sold at auction 19 March 2011
"$670,000",Internal area 0.00,"811/60 Siddeley Street, DOCKLANDS VIC 3008",1,3,2,144.952515,-37.8226929,Sold by private treaty 13 March 2010
"$370,000",Internal area 40 m2,"112/48 Wellington Parade, East Melbourne VIC 3002",-,2,1,144.988586,-37.81652,Sold by private treaty 19 May 2016
"$390,500",Internal area 45 m2,"G4/48 Wellington Pde, East Melbourne VIC 3002",-,2,1,144.988586,-37.81652,Sold by private treaty 03 September 2015
"$363,000",Internal area 53 m2,"402/153-155 Wellington Parade South, East Melbourne VIC 3002",-,2,1,144.979568,-37.8167343,Sold by private treaty 27 November 2014
"$3,150,000",Internal area 0.00,"1-4/82 Vale Street, EAST MELBOURNE VIC 3002",-,2,1,144.987686,-37.8187,Sold by private treaty 30 November 2010
"$917,500
        price from APM PriceFinder",Land area squareMeter m2,"6 Darling Street, East Melbourne VIC 3002",-,2,1,144.9899,-37.8132629,Sold by private treaty 30 January 2010
"$1,300,000",Internal area 92,"502/1 Powlett Street, East Melbourne VIC 3002",1,2,2,144.98494,-37.8161049,Sold at auction 25 July 2017
"$610,000",Internal area 79.00,"109V/162 Albert Street, East Melbourne VIC 3002",1,2,1,144.985535,-37.8100433,Sold by private treaty 09 June 2017
